doi,number,study,author,year,title,relevant ,responses ,country,format ,extracted ,
10.1016/j.scitotenv.2020.137070,2,1,"Blocher, Johanna R.",2020,Multiple stressors and stream macroinvertebrate community dynamics: Interactions between fine sediment grain size and flow velocity,Y,25 of 25 ,New Zealand,figure,Y,
10.1016/j.scitotenv.2019.06.301,107,1,"Chara-Serna, Ana M.",2019,Nutrients and sediment modify the impacts of a neonicotinoid insecticide on freshwater community structure and ecosystem functioning,Y,6 of 6 ,Canada,table,Y,
10.1007/s00442-019-04502-0,142,1,"Stefanidou, Natassa",2019,Response of a coastal Baltic Sea diatom-dominated phytoplankton community to experimental heat shock and changing salinity,Y,6 of many ,Germany ,figure,Y,
10.1264/jsme2.ME18169,159,1,"Rouze, Regis",2019,The Honeybee Gut Microbiota Is Altered after Chronic Exposure to Different Families of Insecticides and Infection by Nosema ceranae,Y,6 of 6 ,France,figure,Y,
10.1098/rspb.2019.1536,161,1,"Lucas, Jane M.",2019,Antibiotics as chemical warfare across multiple taxonomic domains and trophic levels in brown food webs,Y,24 of 24 ,Panama,table,Y,
10.1016/j.scitotenv.2019.05.031,162,1,"Davis, Stephen J.",2019,"Chronic nutrient inputs affect stream macroinvertebrate communities more than acute inputs: An experiment manipulating phosphorus, nitrogen and sediment",Y ,30 of 30 ,Ireland,table,Y,
10.1111/1365-2745.13245,179,1,"Brandt, Angela J.",2019,Nitrogen alters effects of disturbance on annual grassland community diversity: Implications for restoration,Y,80,USA,table,Y ,"may need to aggregate up to family or order, but have extracted at species level "
10.1111/1365-2664.13430,214,1,"Bray, Jon P.",2019,Stressor dominance and sensitivity-dependent antagonism: Disentangling the freshwater effects of an insecticide among co-occurring agricultural stressors,Y,12 of 12,Australia,figure,Y,
10.1111/gcb.14745,221,1,"Brustolin, Marco Colossi",2019,Future ocean climate homogenizes communities across habitats through diversity loss and rise of generalist species,Y,5 of 5,Australia,figure,Y ,
10.1371/journal.pone.0215466,312,1,"Blot, Nicolas",2019,"Glyphosate, but not its metabolite AMPA, alters the honeybee gut microbiota",Y,6 of 6,France,figure,Y,
10.1111/gcb.14456,452,1,"White, Lydia",2018,Combined effects of warming and nutrients on marine communities are moderated by predators and vary across functional groups,Y,26 of 26,UK,table,Y,
10.3389/fpls.2018.01787,460,1,"Bokhorst, Stef",2018,"Impact of Multiple Ecological Stressors on a Sub-Arctic Ecosystem: No Interaction Between Extreme Winter Warming Events, Nitrogen Addition and Grazing",Y ,10 of 10 ,Norway,figure,Y,
10.1016/j.scitotenv.2018.05.071,511,1,"Calapez, A. R.",2018,The effect of hypoxia and flow decrease in macroinvertebrate functional responses: A trait-based approach to multiple-stressors in mesocosms,Y,7 of 7,Portugal,figure,Y,
10.1016/j.scitotenv.2018.05.052,524,1,"Davis, Stephen J.",2018,"Multiple-stressor effects of sediment, phosphorus and nitrogen on stream macroinvertebrate communities",Y,3 way =  9,Ireland ,figure,Y,
10.1371/journal.pone.0204510,529,1,"Costello, David M.",2018,Ranking stressor impacts on periphyton structure and function with mesocosm experiments and environmental-change forecasts,Y,46 of 46,USA,table,Y,
10.1002/etc.4201,543,1,"Van de Perre, Dimitri",2018,"The combined and interactive effects of zinc, temperature, and phosphorus on the structure and functioning of a freshwater community",Y,11 of 11 ,Netherlands,table,Y,
10.1016/j.scitotenv.2018.03.077,564,1,"Nuy, Julia K.",2018,Responses of stream microbes to multiple anthropogenic stressors in a mesocosm study,Y,8 of 8 ,Germany,figure,Y,
10.1002/ece3.4289,567,1,"Varma, Varun",2018,Effects of increased N and P availability on biomass allocation and root carbohydrate reserves differ between N-fixing and non-N-fixing savanna tree seedlings,Y ,6 of 6,India ,table,Y,
10.1186/s12302-018-0157-x,592,1,"Beermann, Arne J.",2018,DNA metabarcoding reveals the complex and hidden responses of chironomids to multiple stressors,Y,100+ ,Germany ,table,Y,
10.1016/j.marpolbul.2018.04.012,618,1,"Fricke, A.",2018,Multiple stressors and benthic harmful algal blooms (BHABs): Potential effects of temperature rise and nutrient enrichment,Y,5 of 5,France,figure_complextoextract,Y,
10.1007/s11356-018-1311-0,665,1,"Smith, Geoffrey R.",2018,Effects of malathion and nitrate exposure on the zooplankton community in experimental mesocosms,Y,5 of 5,USA,figure,Y,
10.1007/s00425-017-2813-6,709,1,"Bokhorst, Stef",2018,Contrasting survival and physiological responses of sub-Arctic plant types to extreme winter warming and nitrogen,Y,9 of 9,Norway,figure,Y,
